state,district,crop,soil_type,water_source,sowing_month,avg_temp,rainfall,yield_per_acre,market_price
Tamil Nadu,Coimbatore,Onion,Red,River,10,31,294,6.27,2488
Karnataka,Dharwad,Wheat,Red,Tank,4,28,40,0.96,2482
Maharashtra,Nashik,Coconut,Loamy,River,1,28,20,69.65,25
Tamil Nadu,Salem,Maize,Alluvial,River,7,24,46,3.31,1576
Karnataka,Mysore,Tomato,Sandy,Borewell,4,23,235,9.99,2907
Karnataka,Mandya,Wheat,Red,River,10,12,275,1.34,2872
Karnataka,Mysore,Wheat,Red,Rain-fed,12,24,298,1.25,3008
Maharashtra,Thane,Chilli,Alluvial,Tank,7,28,47,1.77,10801
Maharashtra,Nagpur,Rice,Sandy,Tank,3,24,88,1.99,1776
Karnataka,Mysore,Rice,Laterite,Borewell,4,20,91,2.16,2451
Karnataka,Haveri,Tomato,Laterite,Canal,10,29,174,10.42,2794
Maharashtra,Pune,Tomato,Red,River,2,15,216,9.51,2702
Tamil Nadu,Madurai,Chilli,Black,Tank,1,20,106,1.54,13631
Maharashtra,Nagpur,Coconut,Black,River,10,15,268,43.26,28
Tamil Nadu,Salem,Rice,Laterite,Tank,2,12,241,1.45,2271
Karnataka,Belagavi,Onion,Loamy,Canal,1,32,94,6.29,2416
Maharashtra,Nagpur,Chilli,Loamy,Tank,11,17,32,1.43,14824
Tamil Nadu,Madurai,Onion,Laterite,Borewell,9,21,114,8.57,2175
Karnataka,Haveri,Chilli,Clay,Rain-fed,4,25,166,1.84,16817
Maharashtra,Nagpur,Coconut,Sandy Loam,Rain-fed,3,16,241,39.39,29
Tamil Nadu,Madurai,Coconut,Red,Borewell,1,29,174,62.44,26
Maharashtra,Thane,Chilli,Laterite,Canal,7,32,255,1.63,11087
Maharashtra,Thane,Rice,Sandy,Tank,5,26,196,1.83,1783
Tamil Nadu,Chennai,Tomato,Loamy,Tank,9,15,223,10.27,2235
Maharashtra,Nashik,Chilli,Sandy,Tank,8,38,95,0.99,13427
Tamil Nadu,Coimbatore,Wheat,Clay,Borewell,12,17,177,1.64,2106
Maharashtra,Nashik,Potato,Sandy,Canal,10,38,68,6.36,1909
Maharashtra,Thane,Chilli,Red,Canal,1,29,85,1.85,12614
Tamil Nadu,Coimbatore,Wheat,Alluvial,Rain-fed,4,30,100,1.0,1982
Maharashtra,Thane,Rice,Loamy,Tank,9,30,140,2.38,2062
Karnataka,Dharwad,Onion,Black,River,2,27,233,7.3,2572
Tamil Nadu,Chennai,Potato,Clay,Tank,10,34,206,9.41,2122
Maharashtra,Nashik,Onion,Loamy,River,9,16,173,7.84,2123
Karnataka,Haveri,Rice,Sandy Loam,Canal,7,25,249,2.74,1934
Maharashtra,Nagpur,Coconut,Red,Rain-fed,8,20,128,49.95,32
Maharashtra,Nashik,Maize,Black,Borewell,12,27,177,3.6,1810
Tamil Nadu,Coimbatore,Coconut,Laterite,River,6,31,299,49.55,24
Tamil Nadu,Madurai,Wheat,Alluvial,River,12,12,51,1.74,2577
Maharashtra,Thane,Chilli,Alluvial,Borewell,7,22,230,1.89,11636
Tamil Nadu,Chennai,Maize,Sandy Loam,Rain-fed,3,31,91,2.29,1866
Maharashtra,Nagpur,Rice,Clay,River,5,12,202,1.44,1617
Karnataka,Haveri,Wheat,Alluvial,Canal,1,24,288,1.48,2431
Maharashtra,Nagpur,Coconut,Sandy,Rain-fed,11,23,191,42.46,32
Karnataka,Mandya,Rice,Sandy,Tank,9,12,244,1.28,2098
Maharashtra,Pune,Rice,Red,River,1,22,135,2.12,2236
Karnataka,Mysore,Coconut,Loamy,Borewell,6,16,29,42.77,34
Tamil Nadu,Chennai,Maize,Loamy,Tank,2,20,158,3.07,2040
Karnataka,Mandya,Coconut,Red,Tank,4,31,93,56.64,34
Maharashtra,Nashik,Potato,Alluvial,Tank,3,12,201,16.17,1526
Maharashtra,Thane,Onion,Black,Canal,6,29,125,8.24,1905
Karnataka,Mysore,Rice,Alluvial,Borewell,7,21,228,2.71,2478
Maharashtra,Nashik,Potato,Alluvial,River,1,17,249,20.71,1827
Karnataka,Dharwad,Coconut,Loamy,Rain-fed,9,37,138,50.86,30
Tamil Nadu,Salem,Tomato,Sandy Loam,Canal,6,18,229,9.99,2214
Tamil Nadu,Salem,Wheat,Black,Tank,2,38,188,0.68,2145
Maharashtra,Pune,Chilli,Laterite,River,1,18,63,1.27,14111
Karnataka,Mandya,Chilli,Laterite,Borewell,7,17,262,1.41,14342
Maharashtra,Nashik,Maize,Laterite,Tank,9,14,238,2.36,1874
Maharashtra,Nashik,Chilli,Clay,Tank,9,18,116,1.48,12231
Tamil Nadu,Madurai,Tomato,Black,Borewell,7,20,134,13.3,2363
Tamil Nadu,Salem,Maize,Loamy,Borewell,11,22,90,3.72,2005
Maharashtra,Nagpur,Coconut,Red,Borewell,10,23,147,55.39,32
Maharashtra,Nagpur,Tomato,Red,Canal,8,37,201,8.36,2484
Tamil Nadu,Chennai,Wheat,Black,River,7,15,55,1.81,1901
Karnataka,Bangalore Urban,Potato,Red,Borewell,4,19,221,18.62,2328
Maharashtra,Thane,Chilli,Red,River,1,34,40,1.32,14685
Tamil Nadu,Coimbatore,Potato,Black,River,6,31,22,12.76,1405
Karnataka,Bangalore Urban,Potato,Alluvial,River,5,35,157,9.51,1787
Maharashtra,Nagpur,Maize,Red,Tank,8,35,81,2.1,1892
Maharashtra,Nagpur,Coconut,Alluvial,Canal,7,29,24,75.71,23
Maharashtra,Nagpur,Chilli,Laterite,Borewell,9,34,127,1.44,15215
Maharashtra,Nashik,Onion,Sandy,Borewell,11,36,138,4.04,2498
Maharashtra,Pune,Maize,Laterite,Canal,7,27,165,3.03,1707
Maharashtra,Nagpur,Wheat,Sandy Loam,Tank,11,26,159,1.14,2634
Karnataka,Haveri,Maize,Black,Canal,3,23,92,3.99,2195
Tamil Nadu,Madurai,Coconut,Red,Borewell,6,23,299,60.56,27
Maharashtra,Nagpur,Coconut,Sandy Loam,Tank,6,19,227,41.7,25
Maharashtra,Nagpur,Coconut,Loamy,Borewell,8,21,131,54.66,25
Karnataka,Mandya,Coconut,Laterite,Canal,6,19,99,49.18,32
Karnataka,Dharwad,Wheat,Laterite,Canal,1,18,283,1.46,2403
Maharashtra,Thane,Chilli,Red,Borewell,12,34,166,1.49,13502
Maharashtra,Nagpur,Onion,Sandy,Borewell,3,30,109,5.81,2078
Maharashtra,Nashik,Potato,Black,River,4,32,83,11.64,1486
Maharashtra,Nashik,Potato,Loamy,River,12,15,93,16.26,1886
Maharashtra,Thane,Tomato,Sandy Loam,Tank,10,34,269,8.45,2656
Karnataka,Bangalore Urban,Chilli,Loamy,Canal,12,37,132,1.36,15425
Karnataka,Belagavi,Maize,Alluvial,Canal,8,31,128,3.11,1968
Maharashtra,Thane,Coconut,Loamy,Canal,7,30,145,68.04,28
Karnataka,Mandya,Chilli,Black,River,10,32,35,1.65,15482
Karnataka,Haveri,Tomato,Sandy Loam,Tank,1,16,80,8.58,2681
Tamil Nadu,Coimbatore,Rice,Loamy,Borewell,7,26,267,2.74,1806
Maharashtra,Nashik,Maize,Alluvial,Borewell,10,28,199,3.35,1889
Maharashtra,Nashik,Coconut,Laterite,Tank,3,20,148,46.88,25
Tamil Nadu,Coimbatore,Coconut,Red,Canal,4,25,99,59.19,25
Maharashtra,Pune,Onion,Laterite,Borewell,1,19,197,9.05,1908
Tamil Nadu,Coimbatore,Coconut,Laterite,Canal,9,16,89,45.5,31
Tamil Nadu,Salem,Chilli,Loamy,Rain-fed,5,34,200,1.47,10491
Maharashtra,Pune,Rice,Laterite,Borewell,6,32,60,2.23,1671
Maharashtra,Thane,Wheat,Red,Borewell,3,15,92,1.71,2216
Karnataka,Mysore,Potato,Red,River,11,14,75,15.46,2377
Karnataka,Bangalore Urban,Coconut,Black,River,8,27,275,67.6,29
Tamil Nadu,Salem,Wheat,Red,Borewell,5,21,161,1.56,1699
Tamil Nadu,Salem,Wheat,Alluvial,River,4,32,227,0.92,2370
Maharashtra,Nagpur,Potato,Alluvial,River,7,28,286,14.31,1489
Maharashtra,Nagpur,Rice,Sandy,Canal,11,23,107,2.24,2088
Tamil Nadu,Salem,Potato,Sandy,Tank,4,36,29,7.27,1605
Maharashtra,Thane,Onion,Red,River,8,32,98,5.6,2389
Tamil Nadu,Madurai,Chilli,Sandy,Canal,1,21,238,1.54,12887
Maharashtra,Nashik,Chilli,Sandy Loam,Tank,7,38,135,1.21,12052
Maharashtra,Thane,Tomato,Sandy,Borewell,5,35,289,7.98,2016
Tamil Nadu,Chennai,Tomato,Alluvial,Tank,12,26,244,12.54,3003
Karnataka,Bangalore Urban,Coconut,Loamy,Tank,9,29,177,61.61,37
Karnataka,Bangalore Urban,Tomato,Laterite,Rain-fed,4,33,263,9.13,2517
Karnataka,Haveri,Coconut,Red,River,12,33,48,55.63,42
Karnataka,Belagavi,Wheat,Alluvial,Borewell,2,15,145,2.06,2884
Maharashtra,Thane,Wheat,Sandy Loam,Rain-fed,11,30,138,0.8,2023
Maharashtra,Nashik,Coconut,Sandy,Tank,7,37,267,40.59,27
Karnataka,Mysore,Maize,Red,Tank,6,18,248,2.6,1806
Karnataka,Mandya,Maize,Clay,Borewell,3,33,196,2.61,2063
Karnataka,Belagavi,Tomato,Sandy,River,6,14,233,7.11,2810
Tamil Nadu,Chennai,Wheat,Laterite,Canal,5,33,148,0.87,1930
Maharashtra,Nagpur,Chilli,Alluvial,Tank,11,32,218,1.59,13469
Karnataka,Belagavi,Onion,Loamy,River,10,37,157,5.11,2643
Maharashtra,Nagpur,Tomato,Black,Borewell,4,16,113,10.35,2492
Karnataka,Belagavi,Tomato,Red,Tank,7,19,148,9.94,2507
Tamil Nadu,Madurai,Onion,Alluvial,Rain-fed,10,31,30,5.18,2372
Tamil Nadu,Salem,Potato,Laterite,Canal,7,35,91,9.41,1736
Karnataka,Mysore,Tomato,Loamy,Borewell,1,32,171,10.25,3017
Karnataka,Mandya,Wheat,Sandy,Tank,6,31,103,0.76,2639
Maharashtra,Thane,Coconut,Laterite,Canal,1,13,285,35.25,29
Tamil Nadu,Chennai,Coconut,Red,Canal,9,29,122,66.11,30
Karnataka,Belagavi,Wheat,Black,Borewell,2,21,211,1.59,2575
Tamil Nadu,Salem,Rice,Red,Tank,10,37,271,1.5,2058
Tamil Nadu,Chennai,Maize,Laterite,River,3,13,271,2.03,1613
Maharashtra,Pune,Wheat,Alluvial,Rain-fed,9,30,241,0.94,1817
Karnataka,Dharwad,Chilli,Loamy,Tank,11,36,267,1.28,16686
Karnataka,Mandya,Onion,Sandy Loam,Canal,10,19,191,9.36,3041
Tamil Nadu,Madurai,Coconut,Sandy,River,9,23,120,45.9,32
Tamil Nadu,Madurai,Wheat,Black,Rain-fed,10,15,110,1.72,2607
Karnataka,Bangalore Urban,Onion,Clay,Tank,8,18,171,8.19,2669
Tamil Nadu,Salem,Rice,Laterite,River,5,16,75,1.83,2009
Maharashtra,Thane,Rice,Red,Canal,12,30,39,2.08,2475
Karnataka,Dharwad,Chilli,Red,Tank,8,14,99,1.11,15024
Karnataka,Haveri,Tomato,Sandy,Tank,3,15,192,6.93,2795
Tamil Nadu,Coimbatore,Wheat,Sandy,River,2,34,159,0.57,2150
Tamil Nadu,Chennai,Tomato,Red,River,9,16,203,8.64,2106
Maharashtra,Nagpur,Potato,Clay,Tank,2,28,84,12.43,1753
Tamil Nadu,Chennai,Onion,Clay,Canal,8,37,118,4.8,2180
Tamil Nadu,Chennai,Maize,Alluvial,River,7,33,215,2.6,1819
Maharashtra,Thane,Chilli,Clay,Canal,2,23,185,1.68,13999
Maharashtra,Nagpur,Tomato,Sandy,Borewell,9,17,258,8.83,2233
Maharashtra,Nagpur,Chilli,Sandy,Borewell,8,35,137,1.21,14846
Karnataka,Belagavi,Wheat,Sandy,Tank,1,23,83,1.07,2846
Tamil Nadu,Madurai,Chilli,Alluvial,Canal,7,29,156,2.02,12829
Tamil Nadu,Chennai,Rice,Black,River,12,17,89,1.95,2110
Maharashtra,Thane,Potato,Black,Rain-fed,10,22,202,18.52,1699
Tamil Nadu,Madurai,Rice,Red,Canal,12,13,130,1.53,2237
Maharashtra,Nagpur,Tomato,Red,River,10,35,142,8.46,2521
Tamil Nadu,Madurai,Potato,Laterite,Rain-fed,11,13,93,14.82,1826
Maharashtra,Nagpur,Onion,Loamy,Borewell,3,27,292,7.87,2359
Maharashtra,Nagpur,Potato,Black,Canal,11,37,71,9.32,1941
Tamil Nadu,Madurai,Chilli,Sandy,Rain-fed,11,24,98,1.46,13415
Karnataka,Haveri,Potato,Sandy Loam,Tank,2,14,78,15.51,1802
Karnataka,Haveri,Chilli,Laterite,Rain-fed,11,17,55,1.12,19682
Tamil Nadu,Salem,Coconut,Red,Tank,9,26,128,56.45,31
Karnataka,Haveri,Potato,Alluvial,Canal,12,20,32,19.53,2533
Karnataka,Bangalore Urban,Maize,Alluvial,Canal,10,20,87,3.6,2648
Karnataka,Dharwad,Tomato,Red,Borewell,3,36,134,8.61,2833
Maharashtra,Pune,Maize,Alluvial,Borewell,7,12,276,2.66,1916
Maharashtra,Pune,Onion,Laterite,Rain-fed,11,21,117,8.04,2464
Maharashtra,Pune,Chilli,Loamy,Canal,5,29,46,1.82,10643
Maharashtra,Nagpur,Coconut,Red,Rain-fed,12,22,89,52.12,33
Maharashtra,Nashik,Coconut,Alluvial,Canal,3,20,107,51.45,25
Karnataka,Haveri,Wheat,Sandy Loam,Tank,3,17,237,1.44,2704
Tamil Nadu,Coimbatore,Potato,Loamy,Rain-fed,1,35,210,8.85,1911
Maharashtra,Thane,Potato,Loamy,Canal,12,33,134,10.95,1970
Tamil Nadu,Madurai,Onion,Loamy,Tank,9,21,297,9.49,1913
Tamil Nadu,Madurai,Tomato,Clay,Borewell,6,17,136,11.06,2386
Tamil Nadu,Chennai,Maize,Laterite,Borewell,3,18,296,3.09,1850
Maharashtra,Thane,Rice,Clay,Tank,2,13,241,1.65,1801
Tamil Nadu,Madurai,Tomato,Alluvial,River,10,24,70,12.64,2585
Tamil Nadu,Chennai,Rice,Alluvial,Tank,2,15,146,1.75,1779
Tamil Nadu,Coimbatore,Rice,Loamy,Rain-fed,5,36,282,1.68,1870
Tamil Nadu,Coimbatore,Chilli,Sandy Loam,Rain-fed,2,16,184,1.23,12955
Maharashtra,Nagpur,Tomato,Alluvial,Canal,1,19,168,12.98,2098
Karnataka,Belagavi,Coconut,Clay,River,3,12,179,33.32,31
Tamil Nadu,Chennai,Coconut,Loamy,Rain-fed,11,15,120,38.19,28
Maharashtra,Nashik,Chilli,Sandy,Tank,2,14,295,1.06,13295
Karnataka,Dharwad,Rice,Loamy,Rain-fed,2,38,57,1.3,2741
Maharashtra,Thane,Potato,Sandy Loam,Rain-fed,7,36,300,7.49,1405
Maharashtra,Nashik,Coconut,Loamy,Canal,10,33,112,63.27,30
Karnataka,Dharwad,Chilli,Black,Borewell,6,32,114,1.87,14198
Karnataka,Bangalore Urban,Chilli,Clay,Rain-fed,11,16,22,1.07,20324
Karnataka,Haveri,Rice,Clay,Borewell,9,26,239,2.81,2154
Tamil Nadu,Chennai,Potato,Red,River,10,33,23,10.28,1881
Karnataka,Haveri,Tomato,Clay,River,12,18,181,9.43,3354
Maharashtra,Thane,Tomato,Alluvial,Rain-fed,11,16,293,9.64,2994
Maharashtra,Nashik,Onion,Black,Tank,8,13,219,6.64,1924
Maharashtra,Nagpur,Maize,Sandy,Canal,4,26,77,2.94,1829
Karnataka,Mandya,Coconut,Clay,Borewell,8,31,214,59.56,38
Tamil Nadu,Madurai,Coconut,Red,River,9,32,124,53.83,30
Tamil Nadu,Salem,Tomato,Red,Borewell,11,22,245,11.22,2911
Tamil Nadu,Chennai,Potato,Red,Canal,12,15,224,18.63,1757
Maharashtra,Thane,Wheat,Laterite,Borewell,2,19,263,1.69,1806
Tamil Nadu,Coimbatore,Chilli,Sandy,Rain-fed,8,27,243,1.5,12128
Maharashtra,Pune,Maize,Sandy,Canal,7,17,241,2.29,1910
Maharashtra,Nashik,Onion,Loamy,Canal,2,27,171,7.73,2097
Maharashtra,Thane,Chilli,Sandy,Tank,9,29,223,1.51,13382
Maharashtra,Nagpur,Maize,Laterite,River,9,12,266,2.22,1780
Maharashtra,Pune,Wheat,Black,Borewell,8,25,171,1.41,1859
Tamil Nadu,Madurai,Tomato,Loamy,River,8,18,31,11.67,2614
Tamil Nadu,Salem,Coconut,Loamy,Borewell,11,35,48,58.03,28
Karnataka,Dharwad,Coconut,Laterite,Borewell,9,15,172,41.02,35
Maharashtra,Nagpur,Coconut,Black,Rain-fed,6,15,187,40.67,27
Maharashtra,Pune,Maize,Loamy,River,4,30,243,3.1,1769
Maharashtra,Nashik,Coconut,Red,Canal,1,13,31,39.66,25
Tamil Nadu,Madurai,Chilli,Laterite,Canal,3,15,127,1.31,13004
Maharashtra,Thane,Potato,Sandy,River,12,22,54,13.9,1922
Karnataka,Mysore,Onion,Black,Rain-fed,8,34,238,5.55,2357
Maharashtra,Pune,Chilli,Black,River,11,37,116,1.29,15518
Karnataka,Haveri,Onion,Loamy,River,7,12,152,7.12,2306
Maharashtra,Nagpur,Maize,Alluvial,Borewell,12,14,291,2.47,1936
Karnataka,Haveri,Wheat,Clay,Rain-fed,3,38,208,0.58,2751
Karnataka,Mandya,Rice,Sandy Loam,Rain-fed,10,33,278,1.68,2512
Maharashtra,Pune,Onion,Laterite,River,4,38,200,4.49,1836
Maharashtra,Nashik,Wheat,Sandy Loam,River,12,35,84,0.59,2530
Maharashtra,Pune,Rice,Black,Borewell,7,13,67,1.69,2087
Maharashtra,Thane,Rice,Laterite,Borewell,5,27,46,2.46,2068
Karnataka,Bangalore Urban,Potato,Clay,Rain-fed,2,21,199,15.88,1896
Maharashtra,Nagpur,Wheat,Loamy,Canal,1,16,75,1.89,2073
Maharashtra,Nagpur,Chilli,Clay,Tank,7,17,104,1.44,12275
Karnataka,Dharwad,Tomato,Clay,Rain-fed,9,19,80,9.96,3004
Karnataka,Bangalore Urban,Potato,Clay,Tank,5,36,112,8.53,1840
Karnataka,Belagavi,Wheat,Red,Borewell,7,29,269,1.07,2102
Tamil Nadu,Madurai,Wheat,Sandy Loam,Borewell,6,23,258,1.22,2067
Karnataka,Bangalore Urban,Chilli,Sandy,Rain-fed,5,34,179,1.14,15987
Tamil Nadu,Chennai,Chilli,Sandy Loam,Borewell,5,12,200,1.12,11509
Maharashtra,Nashik,Rice,Laterite,River,7,19,114,1.84,1698
Tamil Nadu,Madurai,Wheat,Sandy,Borewell,6,12,237,1.3,2017
Karnataka,Dharwad,Coconut,Red,River,7,29,113,55.44,32
Karnataka,Dharwad,Onion,Sandy Loam,Tank,12,29,192,6.27,3033
Karnataka,Belagavi,Maize,Clay,Canal,3,29,230,2.75,2428
Tamil Nadu,Salem,Chilli,Laterite,Canal,11,12,191,1.11,13491
Tamil Nadu,Coimbatore,Maize,Alluvial,Canal,1,18,206,2.89,1882
Karnataka,Haveri,Coconut,Alluvial,Tank,11,33,296,59.32,37
Tamil Nadu,Madurai,Maize,Sandy,Borewell,9,35,289,2.18,1665
Maharashtra,Nagpur,Tomato,Laterite,Tank,9,29,102,10.87,2713
Karnataka,Belagavi,Chilli,Alluvial,Canal,5,14,117,1.32,15889
Tamil Nadu,Chennai,Coconut,Laterite,River,10,34,92,49.12,30
Tamil Nadu,Coimbatore,Potato,Clay,Canal,2,32,279,11.5,1698
Tamil Nadu,Salem,Wheat,Sandy Loam,Rain-fed,11,20,114,1.44,2356
Karnataka,Mysore,Rice,Alluvial,Canal,8,22,292,2.4,2726
Maharashtra,Pune,Maize,Alluvial,River,5,21,113,3.3,1618
Karnataka,Dharwad,Potato,Sandy Loam,Borewell,10,12,77,17.23,2506
Maharashtra,Thane,Chilli,Red,River,10,19,160,1.4,13762
Tamil Nadu,Madurai,Tomato,Loamy,River,10,18,115,11.1,2684
Tamil Nadu,Coimbatore,Chilli,Sandy Loam,Canal,6,21,111,1.58,11212
Tamil Nadu,Salem,Chilli,Sandy,Rain-fed,2,12,241,0.85,11894
Tamil Nadu,Coimbatore,Onion,Loamy,Borewell,6,25,76,8.63,1988
Tamil Nadu,Coimbatore,Wheat,Laterite,Tank,10,22,278,1.19,2466
Maharashtra,Nagpur,Potato,Laterite,Canal,6,26,221,14.12,1517
Karnataka,Haveri,Coconut,Alluvial,Rain-fed,4,37,46,40.55,34
Karnataka,Mandya,Tomato,Alluvial,River,8,30,115,10.07,3042
Karnataka,Bangalore Urban,Maize,Alluvial,River,10,36,249,2.35,2239
Maharashtra,Thane,Rice,Black,River,11,25,118,2.8,1968
Maharashtra,Thane,Chilli,Loamy,Rain-fed,8,22,203,1.76,14290
Tamil Nadu,Coimbatore,Coconut,Sandy,Tank,12,37,235,35.3,32
Karnataka,Bangalore Urban,Potato,Sandy Loam,Tank,2,13,292,16.37,1899
Tamil Nadu,Madurai,Onion,Black,Tank,6,26,273,7.49,2007
Tamil Nadu,Coimbatore,Maize,Loamy,River,9,16,147,2.46,1784
Tamil Nadu,Coimbatore,Maize,Alluvial,Canal,1,16,74,3.13,2045
Tamil Nadu,Chennai,Wheat,Loamy,Borewell,1,31,142,1.01,1878
Karnataka,Mandya,Maize,Sandy,Borewell,2,17,170,2.46,1982
Maharashtra,Nashik,Tomato,Red,River,1,33,223,8.37,2366
Tamil Nadu,Coimbatore,Rice,Sandy Loam,River,7,29,295,2.16,1626
Maharashtra,Thane,Maize,Black,Rain-fed,10,18,228,2.95,2354
Tamil Nadu,Salem,Tomato,Black,Canal,12,25,190,12.88,2660
Maharashtra,Nagpur,Potato,Loamy,Canal,7,18,185,21.06,1486
Tamil Nadu,Chennai,Wheat,Loamy,Canal,12,16,78,1.95,2498
Karnataka,Bangalore Urban,Rice,Black,Borewell,10,18,57,2.1,3087
Tamil Nadu,Madurai,Potato,Sandy,Tank,7,29,89,9.26,1573
Karnataka,Bangalore Urban,Rice,Loamy,Canal,12,35,214,1.93,2728
Tamil Nadu,Chennai,Onion,Alluvial,River,7,32,201,6.85,1823
Maharashtra,Nagpur,Onion,Red,Rain-fed,6,13,106,6.26,1707
Maharashtra,Pune,Wheat,Alluvial,Borewell,2,30,204,1.07,1949
Karnataka,Bangalore Urban,Tomato,Laterite,Canal,12,21,243,12.16,3527
Tamil Nadu,Coimbatore,Coconut,Red,Tank,2,37,166,45.87,25
Maharashtra,Nagpur,Coconut,Red,River,5,21,210,49.44,24
Karnataka,Mysore,Onion,Sandy Loam,Borewell,6,38,269,4.98,2087
Tamil Nadu,Chennai,Onion,Alluvial,Borewell,7,15,170,8.95,2046
Karnataka,Belagavi,Potato,Clay,River,10,14,89,14.28,2381
Tamil Nadu,Coimbatore,Potato,Alluvial,Canal,9,19,288,19.36,1498
Tamil Nadu,Salem,Tomato,Sandy,Borewell,9,16,149,8.76,2086
Karnataka,Mandya,Maize,Sandy,Borewell,8,15,238,2.15,2456
Karnataka,Dharwad,Maize,Laterite,River,9,29,146,2.69,2449
Tamil Nadu,Coimbatore,Tomato,Black,Tank,2,14,204,8.72,2702
Tamil Nadu,Salem,Maize,Alluvial,Borewell,10,18,273,3.33,2318
Karnataka,Haveri,Maize,Black,Canal,1,21,71,3.8,2352
Maharashtra,Nashik,Potato,Sandy,Borewell,1,24,149,12.91,1915
Maharashtra,Pune,Potato,Sandy Loam,Rain-fed,12,19,290,16.18,2100
Karnataka,Dharwad,Potato,Black,Canal,4,21,294,19.44,2193
Karnataka,Belagavi,Maize,Alluvial,Canal,3,12,249,2.55,2353
Tamil Nadu,Madurai,Onion,Laterite,Borewell,7,19,81,8.17,1931
Karnataka,Mysore,Chilli,Sandy Loam,Rain-fed,10,24,154,1.72,18202
Tamil Nadu,Madurai,Rice,Laterite,Borewell,5,26,261,2.36,1701
Tamil Nadu,Chennai,Maize,Alluvial,Rain-fed,3,32,189,2.76,2076
Tamil Nadu,Madurai,Onion,Sandy,Rain-fed,4,38,202,3.29,2210
Maharashtra,Pune,Potato,Loamy,Canal,1,20,114,19.22,1515
Maharashtra,Thane,Rice,Sandy,Tank,4,14,230,1.42,2282
Karnataka,Dharwad,Coconut,Red,Canal,12,33,234,55.71,38
Karnataka,Bangalore Urban,Wheat,Sandy Loam,Tank,5,36,111,0.6,2033
Tamil Nadu,Coimbatore,Wheat,Clay,River,2,15,158,1.65,1826
Maharashtra,Nagpur,Tomato,Alluvial,Canal,7,37,126,8.38,2318
Tamil Nadu,Madurai,Maize,Loamy,River,6,25,244,3.46,1810
Maharashtra,Nagpur,Coconut,Alluvial,Tank,10,17,238,45.67,35
Karnataka,Mandya,Coconut,Alluvial,River,2,15,285,43.31,30
Tamil Nadu,Salem,Chilli,Laterite,Canal,6,15,216,1.36,10925
Tamil Nadu,Salem,Potato,Sandy,Tank,10,31,164,10.14,1738
Tamil Nadu,Coimbatore,Coconut,Red,Rain-fed,11,12,103,33.62,28
Maharashtra,Nagpur,Maize,Alluvial,River,2,20,74,3.17,1870
Tamil Nadu,Chennai,Rice,Sandy Loam,River,3,35,274,1.78,1871
Maharashtra,Nagpur,Onion,Laterite,Tank,8,15,226,6.98,1789
Karnataka,Belagavi,Tomato,Loamy,River,6,30,136,10.61,3038
Tamil Nadu,Madurai,Wheat,Alluvial,Tank,11,16,230,1.62,2019
Tamil Nadu,Salem,Chilli,Alluvial,River,8,12,87,1.18,14918
Maharashtra,Nagpur,Rice,Loamy,Rain-fed,3,27,186,2.3,2276
Tamil Nadu,Salem,Onion,Red,Tank,4,34,60,5.35,2138
Karnataka,Haveri,Chilli,Sandy Loam,Tank,2,22,48,1.63,18386
Karnataka,Belagavi,Wheat,Red,River,6,25,270,1.18,2182
Karnataka,Mandya,Maize,Black,Borewell,10,23,76,3.78,2545
Tamil Nadu,Madurai,Potato,Sandy Loam,Borewell,5,24,34,16.91,1616
Karnataka,Mysore,Maize,Red,Rain-fed,11,16,183,2.36,2406
Maharashtra,Nashik,Rice,Alluvial,Rain-fed,3,33,278,2.06,1834
Karnataka,Bangalore Urban,Wheat,Clay,Tank,2,30,274,0.9,2251
Maharashtra,Thane,Rice,Red,Tank,9,30,222,2.23,2006
Maharashtra,Nagpur,Coconut,Clay,Rain-fed,5,37,36,36.9,29
Maharashtra,Nagpur,Wheat,Sandy Loam,River,10,14,69,1.6,2072
Karnataka,Bangalore Urban,Maize,Loamy,Rain-fed,4,27,259,2.89,2340
Tamil Nadu,Chennai,Rice,Sandy,Borewell,7,20,200,1.75,1813
Karnataka,Haveri,Chilli,Red,Canal,4,17,224,1.42,15633
Karnataka,Haveri,Tomato,Alluvial,Canal,1,17,101,11.3,3021
Tamil Nadu,Salem,Potato,Loamy,Tank,8,15,35,17.43,1691
Maharashtra,Thane,Chilli,Laterite,River,8,19,199,1.31,14762
Maharashtra,Nagpur,Maize,Red,Borewell,12,24,214,3.32,2373
Maharashtra,Nashik,Tomato,Sandy,Canal,11,13,193,7.06,2675
Maharashtra,Thane,Onion,Alluvial,River,11,18,233,7.83,2522
Tamil Nadu,Salem,Coconut,Laterite,Borewell,2,35,57,54.84,26
Tamil Nadu,Salem,Tomato,Laterite,Canal,12,18,121,11.59,2731
Maharashtra,Thane,Potato,Alluvial,Tank,7,14,152,17.38,1555
Tamil Nadu,Madurai,Chilli,Sandy Loam,Borewell,8,24,265,1.81,14706
Maharashtra,Thane,Potato,Loamy,Canal,6,16,153,21.04,1399
Karnataka,Mandya,Rice,Clay,River,11,13,112,1.42,2598
Maharashtra,Thane,Rice,Sandy,Tank,7,14,240,1.27,1868
Karnataka,Haveri,Maize,Sandy,Rain-fed,2,23,281,2.44,2017
Maharashtra,Nagpur,Wheat,Alluvial,Canal,10,38,127,0.72,2058
Maharashtra,Thane,Chilli,Alluvial,Rain-fed,4,38,82,1.28,14422
